   90/2999     3.42G   0.03042   0.08799   0.03442    0.1528        53       640    0.6724    0.6749    0.7864    0.6182   0.02142   0.04798   0.03091
   91/2999     3.42G   0.03317   0.08747   0.03379    0.1544        52       640    0.5601    0.8916    0.8039    0.5729   0.02008   0.04902   0.03005
   92/2999     3.42G   0.03068   0.08816   0.03325    0.1521        67       640    0.5814    0.8761    0.8046    0.5757   0.02221   0.04958   0.02941
   93/2999     3.42G     0.031   0.08468   0.03303    0.1487        46       640    0.5573    0.8909    0.8025    0.5926   0.02121   0.04971   0.02897
   94/2999     3.42G   0.02898    0.0898   0.03244    0.1512        44       640     0.586    0.8779    0.8068     0.632   0.01811   0.04918   0.02851
   95/2999     3.42G   0.02845   0.08753   0.03123    0.1472        36       640    0.5794     0.885    0.8034    0.6179   0.01978   0.04851   0.02789
   96/2999     3.42G   0.03122   0.09066   0.03118    0.1531        58       640    0.5976    0.8607    0.8155    0.5718   0.02442   0.05086   0.02717
   97/2999     3.42G   0.03376   0.08342    0.0307    0.1479        38       640    0.7384    0.7328    0.8236    0.5039   0.02547   0.05145   0.02658
   98/2999     3.42G   0.03475   0.08625   0.03081    0.1518        31       640    0.5636    0.8681    0.8333    0.6511   0.02183   0.04982   0.02623
   99/2999     3.42G   0.03053   0.08987   0.02953    0.1499        55       640    0.6904    0.7865    0.8542    0.6428   0.01865   0.04771   0.02553
  100/2999     3.42G    0.0302   0.08626   0.02916    0.1456        49       640    0.6993    0.8045    0.8568    0.6341   0.02077   0.04749   0.02499
  101/2999     3.42G   0.03194   0.08646   0.02834    0.1467        54       640    0.7654     0.763    0.8618    0.6365   0.02017   0.04829   0.02464
  102/2999     3.42G   0.02758   0.08096   0.02829    0.1368        50       640    0.7959    0.7527    0.8649     0.601    0.0215   0.04901   0.02426
  103/2999     3.42G   0.03051   0.08557   0.02777    0.1438        47       640    0.7824    0.7551    0.8663    0.5524   0.02539   0.05057   0.02358
  104/2999     3.42G   0.03276    0.0887   0.02763    0.1491        61       640    0.7816    0.7955     0.877    0.6593   0.01935   0.04721   0.02304
  105/2999     3.42G   0.02666   0.08205   0.02623    0.1349        76       640    0.6939    0.8598    0.8745    0.6812   0.01968   0.04784   0.02234
  106/2999     3.42G   0.02675   0.08148   0.02571    0.1339        27       640    0.8451    0.7936    0.8905    0.7344   0.01663   0.04597   0.02212
  107/2999     3.42G   0.02619   0.09044   0.02586    0.1425        55       640    0.9047    0.8123    0.8953    0.6821   0.02058   0.04852    0.0214
  108/2999     3.42G   0.02965   0.08501     0.025    0.1397        44       640    0.8502    0.8328    0.9067    0.6766   0.02018   0.04782   0.02069
  109/2999     3.42G    0.0276   0.08375   0.02467     0.136        72       640    0.8928    0.8353    0.9262    0.6987   0.02036   0.04727   0.02014
  110/2999     3.42G   0.03165    0.0781   0.02387    0.1336        23       640    0.8873    0.8447    0.9269    0.7072    0.0218   0.04839   0.01946
  111/2999     3.42G   0.03009   0.08362   0.02445    0.1382        23       640    0.8977    0.8593    0.9399    0.6732   0.02129   0.04859   0.01905
  112/2999     3.42G     0.029    0.0787   0.02299    0.1307        25       640    0.8856    0.8668    0.9474    0.7057   0.01933   0.04576   0.01875
  113/2999     3.42G   0.02863   0.08798   0.02289    0.1395        64       640    0.7655    0.9393    0.9493    0.7623   0.02022   0.04676   0.01838
  114/2999     3.42G   0.02808   0.08467   0.02283    0.1356        57       640    0.8799    0.8667    0.9453    0.7519   0.01946   0.04708   0.01841
  115/2999     3.42G   0.02596    0.0799   0.02215     0.128        31       640     0.892    0.8878    0.9511     0.753   0.01715    0.0469   0.01805
  116/2999     3.42G   0.02657   0.09201   0.02147      0.14        81       640    0.8839    0.8918    0.9523    0.7898   0.01671   0.04742   0.01751
  117/2999     3.42G   0.02559   0.08053   0.02128    0.1274        26       640    0.8964    0.9061     0.958    0.8007   0.01643    0.0459    0.0166
  118/2999     3.42G   0.02625   0.07628   0.02004    0.1226        38       640    0.9054    0.8963    0.9616    0.7551   0.01971   0.04648   0.01635
  119/2999     3.42G   0.02807   0.08062   0.02032     0.129        35       640    0.9146    0.9088    0.9619    0.7632   0.01927   0.04598   0.01628
  120/2999     3.42G    0.0273   0.07605   0.01954    0.1229        31       640     0.917    0.9612     0.973    0.7763   0.01833   0.04638   0.01575
  121/2999     3.42G   0.02769   0.07845   0.01992     0.126        55       640    0.9179    0.9587    0.9737    0.7826   0.01891   0.04552   0.01521
  122/2999     3.42G   0.02664   0.08005   0.01991    0.1266        80       640    0.9209    0.9481    0.9742    0.7808   0.01944   0.04571   0.01476
  123/2999     3.42G   0.02693   0.08073   0.01911    0.1268        62       640     0.949    0.9359    0.9717    0.7915   0.01913    0.0461   0.01448
  124/2999     3.42G   0.02533   0.07648   0.01876    0.1206        53       640    0.9382    0.9553    0.9774    0.8079   0.01676   0.04437   0.01405
  125/2999     3.42G   0.02444   0.07862   0.01773    0.1208        75       640    0.9564    0.9545    0.9777    0.8145   0.01608   0.04463   0.01376
  126/2999     3.42G   0.02372   0.07488   0.01724    0.1158        58       640    0.9472    0.9637    0.9784    0.8291   0.01516   0.04282   0.01349
  127/2999     3.42G   0.02389   0.07958   0.01785    0.1213        73       640    0.9506    0.9684    0.9798    0.7796   0.01726   0.04544   0.01299
  128/2999     3.42G    0.0258   0.08523   0.01731    0.1283        51       640     0.959    0.9687    0.9801    0.8135   0.01589   0.04398   0.01259
  129/2999     3.42G   0.02435   0.08034    0.0166    0.1213        65       640    0.9612    0.9743    0.9802    0.7534   0.01636   0.04498   0.01192
  130/2999     3.42G   0.02596    0.0818   0.01649    0.1242        62       640    0.9716    0.9677    0.9819    0.7249   0.01873   0.04498   0.01139
  131/2999     3.42G   0.02587   0.07294   0.01566    0.1145        51       640    0.9624    0.9652    0.9805    0.7584   0.01933   0.04597   0.01109
  132/2999     3.42G    0.0292   0.07673   0.01615    0.1221        28       640    0.9565    0.9685    0.9785    0.8097   0.01778   0.04483   0.01157
  133/2999     3.42G   0.02972   0.08355   0.01629    0.1296        56       640    0.9533    0.9682    0.9825    0.7848   0.02218     0.047   0.01108
  134/2999     3.42G   0.02981    0.0799   0.01591    0.1256        71       640    0.9729    0.9687    0.9819    0.7197   0.01941   0.04535   0.01142
  135/2999     3.42G   0.02688   0.07734   0.01613    0.1204        54       640    0.9739    0.9668    0.9825    0.7741   0.01857   0.04507   0.01107
  136/2999     3.42G   0.02778   0.08115   0.01514    0.1241        24       640    0.9776    0.9631    0.9832    0.7844   0.01859   0.04517   0.01053
  137/2999     3.42G   0.02771   0.08234   0.01439    0.1244        46       640    0.9726    0.9654    0.9815     0.798   0.01788   0.04605   0.01012
